Month_Index,Cash_and_Cash_Equivalents_NAD_000,AR_Balance_NAD_000,Inventory_Balance_NAD_000,AP_Balance_NAD_000,Revolver_Current_Liab_NAD_000,Current_Assets_NAD_000,Current_Liabilities_NAD_000,Total_Assets_NAD_000,Liabilities_and_Equity_Total_NAD_000,Cash_and_Cash_Equivalents_USD_000,AR_Balance_USD_000,Inventory_Balance_USD_000,AP_Balance_USD_000,Revolver_Current_Liab_USD_000,Current_Assets_USD_000,Current_Liabilities_USD_000,Total_Assets_USD_000,Liabilities_and_Equity_Total_USD_000
1,11149.361111111111,0.0,443.55555555555554,0.0,0.0,11592.916666666666,0.0,11592.916666666666,11592.916666666666,602.6681681681682,0.0,23.975975975975974,0.0,0.0,626.6441441441441,0.0,626.6441441441441,626.6441441441441
2,18835.61111111111,0.0,443.55555555555554,665.3333333333334,0.0,19279.166666666664,665.3333333333334,19279.166666666664,19279.166666666664,1017.0416366690664,0.0,23.950083993280536,35.92512598992081,0.0,1040.991720662347,35.92512598992081,1040.991720662347,1040.991720662347
3,17806.527777777777,0.0,443.55555555555554,665.3333333333334,0.0,18250.083333333332,665.3333333333334,18250.083333333332,18250.083333333332,960.4383914658996,0.0,23.924247872467937,35.88637180870191,0.0,984.3626393383674,35.88637180870191,984.3626393383674,984.3626393383674
4,18577.444444444445,0.0,443.55555555555554,665.3333333333334,0.0,19021.0,665.3333333333334,19021.0,19021.0,1000.9398946360154,0.0,23.89846743295019,35.84770114942529,0.0,1024.8383620689656,35.84770114942529,1024.8383620689656,1024.8383620689656
5,19548.36111111111,0.0,443.55555555555554,665.3333333333334,0.0,19991.916666666664,665.3333333333334,19991.916666666664,19991.916666666664,1052.1184666905872,0.0,23.872742494916878,35.80911374237532,0.0,1075.9912091855042,35.80911374237532,1075.9912091855042,1075.9912091855042
6,23019.277777777774,0.0,443.55555555555554,665.3333333333334,0.0,23462.83333333333,665.3333333333334,23462.83333333333,23462.83333333333,1237.5955794504177,0.0,23.84707287933094,35.770609318996414,0.0,1261.4426523297489,35.770609318996414,1261.4426523297489,1261.4426523297489
7,23570.19444444444,0.0,443.55555555555554,665.3333333333334,0.0,24013.749999999996,665.3333333333334,24013.749999999996,24013.749999999996,1265.8536221506145,0.0,23.82145840792457,35.73218761188686,0.0,1289.6750805585389,35.73218761188686,1289.6750805585389,1289.6750805585389
8,23857.11111111111,0.0,443.55555555555554,665.3333333333334,0.0,24300.666666666664,665.3333333333334,24300.666666666664,24300.666666666664,1279.8879351454457,0.0,23.795898903195038,35.693848354792564,0.0,1303.6838340486408,35.693848354792564,1303.6838340486408,1303.6838340486408
9,22828.027777777774,0.0,443.55555555555554,665.3333333333334,0.0,23271.58333333333,665.3333333333334,23271.58333333333,23271.58333333333,1223.3669763010596,0.0,23.77039418840062,35.65559128260093,0.0,1247.1373704894602,35.65559128260093,1247.1373704894602,1247.1373704894602
10,21798.944444444438,0.0,443.55555555555554,665.3333333333334,0.0,22242.499999999993,665.3333333333334,22242.499999999993,22242.499999999993,1166.9670473471326,0.0,23.744944087556508,35.617416131334764,0.0,1190.711991434689,35.617416131334764,1190.711991434689,1190.711991434689
11,20769.861111111106,0.0,443.55555555555554,665.3333333333334,0.0,21213.41666666666,665.3333333333334,21213.41666666666,21213.41666666666,1110.6877599524655,0.0,23.71954842543078,35.579322638146174,0.0,1134.4073083778962,35.579322638146174,1134.4073083778962,1134.4073083778962
12,19971.444444444438,0.0,212.88888888888886,665.3333333333334,0.0,20184.33333333333,665.3333333333334,20184.33333333333,20184.33333333333,1066.8506647673312,0.0,11.372269705603038,35.541310541310544,0.0,1078.2229344729342,35.541310541310544,1078.2229344729342,1078.2229344729342
13,19264.611111111106,0.0,212.88888888888886,665.3333333333334,0.0,19477.499999999996,665.3333333333334,19477.499999999996,19477.499999999996,1021.9952844090772,0.0,11.293840259357498,35.296198054818746,0.0,1033.2891246684349,35.296198054818746,1033.2891246684349,1033.2891246684349
14,18211.777777777774,0.0,212.88888888888886,319.3333333333333,0.0,18424.666666666664,319.3333333333333,18424.666666666664,18424.666666666664,965.118059235706,0.0,11.281870105399515,16.922805158099273,0.0,976.3999293411056,16.922805158099273,976.3999293411056,976.3999293411056
15,17504.944444444438,0.0,212.88888888888886,319.3333333333333,0.0,17717.83333333333,319.3333333333333,17717.83333333333,17717.83333333333,926.6778424798538,0.0,11.26992529851185,16.904887947767776,0.0,937.9477677783657,16.904887947767776,937.9477677783657,937.9477677783657
16,16798.111111111106,0.0,212.88888888888886,319.3333333333333,0.0,17010.999999999996,319.3333333333333,17010.999999999996,17010.999999999996,888.3189376579114,0.0,11.258005758270167,16.887008637405252,0.0,899.5769434161817,16.887008637405252,899.5769434161817,899.5769434161817
17,16091.277777777772,0.0,212.88888888888886,319.3333333333333,0.0,16304.16666666666,319.3333333333333,16304.16666666666,16304.16666666666,850.0410870458411,0.0,11.246111404590009,16.869167106885016,0.0,861.2871984504311,16.869167106885016,861.2871984504311,861.2871984504311
18,15384.444444444438,0.0,212.88888888888886,319.3333333333333,0.0,15597.333333333327,319.3333333333333,15597.333333333327,15597.333333333327,811.8440340076221,0.0,11.234242157725006,16.85136323658751,0.0,823.0782761653471,16.85136323658751,823.0782761653471,823.0782761653471
19,14677.611111111106,0.0,212.88888888888886,319.3333333333333,0.0,14890.499999999995,319.3333333333333,14890.499999999995,14890.499999999995,773.7275229895154,0.0,11.222397938265097,16.833596907397645,0.0,784.9499209277805,16.833596907397645,784.9499209277805,784.9499209277805
20,13970.777777777774,0.0,212.88888888888886,319.3333333333333,0.0,14183.666666666662,319.3333333333333,14183.666666666662,14183.666666666662,735.6912995143641,0.0,11.21057866713475,16.815868000702125,0.0,746.9018781814989,16.815868000702125,746.9018781814989,746.9018781814989
21,13263.94444444444,0.0,212.88888888888886,319.3333333333333,0.0,13476.833333333328,319.3333333333333,13476.833333333328,13476.833333333328,697.7351101759305,0.0,11.198784265591208,16.79817639838681,0.0,708.9338944415217,16.79817639838681,708.9338944415217,708.9338944415217
22,12557.111111111106,0.0,212.88888888888886,319.3333333333333,0.0,12769.999999999995,319.3333333333333,12769.999999999995,12769.999999999995,659.8587026332688,0.0,11.187014655222745,16.78052198283412,0.0,671.0457172884916,16.78052198283412,671.0457172884916,671.0457172884916
23,11850.277777777774,0.0,212.88888888888886,319.3333333333333,0.0,12063.166666666662,319.3333333333333,12063.166666666662,12063.166666666662,622.0618256051324,0.0,11.175269757946921,16.762904636920382,0.0,633.2370953630793,16.762904636920382,633.2370953630793,633.2370953630793
24,11140.499999999996,0.0,215.83333333333331,319.3333333333333,0.0,11356.33333333333,319.3333333333333,11356.33333333333,11356.33333333333,584.1898269533297,0.0,11.317951407096661,16.745324244013283,0.0,595.5077783604263,16.745324244013283,595.5077783604263,595.5077783604263
25,10400.083333333328,0.0,215.83333333333331,319.3333333333333,0.0,10615.916666666662,319.3333333333333,10615.916666666662,10615.916666666662,541.6710069444442,0.0,11.241319444444445,16.631944444444443,0.0,552.9123263888887,16.631944444444443,552.9123263888887,552.9123263888887
26,9664.083333333328,0.0,215.83333333333331,323.75,0.0,9879.916666666662,323.75,9879.916666666662,9879.916666666662,502.81390912244166,0.0,11.229621921609434,16.844432882414154,0.0,514.0435310440512,16.844432882414154,514.0435310440512,514.0435310440512
27,8923.666666666662,0.0,215.83333333333331,323.75,0.0,9139.499999999996,323.75,9139.499999999996,9139.499999999996,463.80803880803865,0.0,11.217948717948717,16.826923076923077,0.0,475.0259875259874,16.826923076923077,475.0259875259874,475.0259875259874
28,8183.249999999995,0.0,215.83333333333331,323.75,0.0,8399.083333333328,323.75,8399.083333333328,8399.083333333328,424.8831775700932,0.0,11.206299757701625,16.80944963655244,0.0,436.0894773277948,16.80944963655244,436.0894773277948,436.0894773277948
29,7442.8333333333285,0.0,215.83333333333331,323.75,0.0,7658.6666666666615,323.75,7658.6666666666615,7658.6666666666615,386.03907330567057,0.0,11.194674965421852,16.79201244813278,0.0,397.2337482710924,16.79201244813278,397.2337482710924,397.2337482710924
30,6702.416666666662,0.0,215.83333333333331,323.75,0.0,6918.249999999995,323.75,6918.249999999995,6918.249999999995,347.2754749568219,0.0,11.183074265975819,16.77461139896373,0.0,358.45854922279767,16.77461139896373,358.45854922279767,358.45854922279767
31,5961.999999999995,0.0,215.83333333333331,323.75,0.0,6177.8333333333285,323.75,6177.8333333333285,6177.8333333333285,308.59213250517575,0.0,11.171497584541061,16.757246376811594,0.0,319.7636300897168,16.757246376811594,319.7636300897168,319.7636300897168
32,5221.5833333333285,0.0,215.83333333333331,323.75,0.0,5437.4166666666615,323.75,5437.4166666666615,5437.4166666666615,269.98879696656303,0.0,11.159944846604619,16.73991726990693,0.0,281.1487418131676,16.73991726990693,281.1487418131676,281.1487418131676
33,4481.1666666666615,0.0,215.83333333333331,323.75,0.0,4696.9999999999945,323.75,4696.9999999999945,4696.9999999999945,231.46522038567468,0.0,11.148415977961433,16.722623966942148,0.0,242.6136363636361,16.722623966942148,242.6136363636361,242.6136363636361
34,3740.7499999999945,0.0,215.83333333333331,323.75,0.0,3956.583333333328,323.75,3956.583333333328,3956.583333333328,193.0211558307531,0.0,11.136910904712762,16.705366357069146,0.0,204.15806673546587,16.705366357069146,204.15806673546587,204.15806673546587
35,3000.3333333333276,0.0,215.83333333333331,323.75,0.0,3216.166666666661,323.75,3216.166666666661,3216.166666666661,154.65635738831585,0.0,11.125429553264604,16.688144329896907,0.0,165.7817869415805,16.688144329896907,165.7817869415805,165.7817869415805
36,2256.861111111105,0.0,218.88888888888886,323.75,0.0,2475.7499999999936,323.75,2475.7499999999936,2475.7499999999936,116.21323950108675,0.0,11.271312507151846,16.670957775489185,0.0,127.4845520082386,16.670957775489185,127.4845520082386,127.4845520082386
37,1493.444444444438,0.0,218.88888888888886,323.75,0.0,1712.333333333327,323.75,1712.333333333327,1712.333333333327,76.39102017618609,0.0,11.196362603012217,16.56010230179028,0.0,87.58738277919831,16.56010230179028,87.58738277919831,87.58738277919831
38,734.611111111104,0.0,218.88888888888886,328.3333333333333,0.0,953.499999999993,328.3333333333333,953.499999999993,953.499999999993,37.537614262192335,0.0,11.184920229376027,16.777380344064042,0.0,48.72253449156837,16.777380344064042,48.72253449156837,48.72253449156837
39,-28.805555555562023,0.0,218.88888888888886,328.3333333333333,0.0,190.08333333332683,328.3333333333333,190.08333333332683,190.08333333332683,-1.4704214168229721,0.0,11.173501219443025,16.760251829164538,0.0,9.703079802620053,16.760251829164538,9.703079802620053,9.703079802620053
40,-792.2222222222281,0.0,218.88888888888886,328.3333333333333,0.0,-573.3333333333392,328.3333333333333,-573.3333333333392,-573.3333333333392,-40.39888945549353,0.0,11.162105501728142,16.743158252592213,0.0,-29.236783953765386,16.743158252592213,-29.236783953765386,-29.236783953765386
41,-1555.6388888888941,0.0,218.88888888888886,328.3333333333333,0.0,-1336.7500000000052,328.3333333333333,-1336.7500000000052,-1336.7500000000052,-79.24803305598034,0.0,11.15073300503764,16.726099507556462,0.0,-68.0973000509427,16.726099507556462,-68.0973000509427,-68.0973000509427
42,-2319.05555555556,0.0,218.88888888888886,328.3333333333333,0.0,-2100.1666666666715,328.3333333333333,-2100.1666666666715,-2100.1666666666715,-118.01809443030841,0.0,11.139383658467628,16.70907548770144,0.0,-106.8787107718408,16.70907548770144,-106.8787107718408,-106.8787107718408
43,-3082.4722222222263,0.0,218.88888888888886,328.3333333333333,0.0,-2863.5833333333376,328.3333333333333,-2863.5833333333376,-2863.5833333333376,-156.7093148054004,0.0,11.128057391402585,16.692086087103878,0.0,-145.58125741399783,16.692086087103878,-145.58125741399783,-145.58125741399783
44,-3845.8888888888923,0.0,218.88888888888886,328.3333333333333,0.0,-3627.0000000000036,328.3333333333333,-3627.0000000000036,-3627.0000000000036,-195.32193442807983,0.0,11.116754133513908,16.67513120027086,0.0,-184.20518029456593,16.67513120027086,-184.20518029456593,-184.20518029456593
45,-4609.305555555558,0.0,218.88888888888886,328.3333333333333,0.0,-4390.41666666667,328.3333333333333,-4390.41666666667,-4390.41666666667,-233.85619257004353,0.0,11.10547381475844,16.65821072213766,0.0,-222.7507187552851,16.65821072213766,-222.7507187552851,-222.7507187552851
46,-5372.722222222224,0.0,218.88888888888886,328.3333333333333,0.0,-5153.833333333336,328.3333333333333,-5153.833333333336,-5153.833333333336,-272.3123275328041,0.0,11.094216365377033,16.64132454806555,0.0,-261.218111167427,16.64132454806555,-261.218111167427,-261.218111167427
47,-6136.1388888888905,0.0,218.88888888888886,328.3333333333333,0.0,-5917.250000000002,328.3333333333333,-5917.250000000002,-5917.250000000002,-310.69057665260203,0.0,11.082981715893107,16.62447257383966,0.0,-299.60759493670895,16.62447257383966,-299.60759493670895,-299.60759493670895
48,-6902.777777777779,0.0,222.11111111111111,328.3333333333333,0.0,-6680.666666666668,328.3333333333333,-6680.666666666668,-6680.666666666668,-349.15416174900247,0.0,11.234755240825043,16.607654695666834,0.0,-337.9194065081774,16.607654695666834,-337.9194065081774,-337.9194065081774
49,-7690.694444444445,0.0,222.11111111111111,328.3333333333333,0.0,-7468.583333333334,328.3333333333333,-7468.583333333334,-7468.583333333334,-386.46705750977117,0.0,11.161362367392519,16.499162479061976,0.0,-375.3056951423786,16.499162479061976,-375.3056951423786,-375.3056951423786
50,-8473.777777777777,0.0,222.11111111111111,333.1666666666667,0.0,-8251.666666666666,333.1666666666667,-8251.666666666666,-8251.666666666666,-425.3904506916555,0.0,11.150156180276662,16.725234270414994,0.0,-414.2402945113788,16.725234270414994,-414.2402945113788,-414.2402945113788
51,-9261.694444444445,0.0,222.11111111111111,333.1666666666667,0.0,-9039.583333333334,333.1666666666667,-9039.583333333334,-9039.583333333334,-464.47815669229914,0.0,11.138972472974478,16.70845870946172,0.0,-453.33918421932464,16.70845870946172,-453.33918421932464,-453.33918421932464
52,-10049.611111111113,0.0,222.11111111111111,333.1666666666667,0.0,-9827.500000000002,333.1666666666667,-9827.500000000002,-9827.500000000002,-503.48753061678923,0.0,11.127811177911378,16.691716766867067,0.0,-492.35971943887785,16.691716766867067,-492.35971943887785,-492.35971943887785
53,-10837.527777777781,0.0,222.11111111111111,333.1666666666667,0.0,-10615.41666666667,333.1666666666667,-10615.41666666667,-10615.41666666667,-542.4188076965856,0.0,11.116672227783338,16.67500834167501,0.0,-531.3021354688022,16.67500834167501,-531.3021354688022,-531.3021354688022
54,-11625.444444444449,0.0,222.11111111111111,333.1666666666667,0.0,-11403.333333333338,333.1666666666667,-11403.333333333338,-11403.333333333338,-581.2722222222225,0.0,11.105555555555556,16.658333333333335,0.0,-570.1666666666669,16.658333333333335,-570.1666666666669,-570.1666666666669
55,-12413.361111111117,0.0,222.11111111111111,333.1666666666667,0.0,-12191.250000000005,333.1666666666667,-12191.250000000005,-12191.250000000005,-620.0480075480078,0.0,11.094461094461096,16.641691641691644,0.0,-608.9535464535468,16.641691641691644,-608.9535464535468,-608.9535464535468
56,-13201.277777777785,0.0,222.11111111111111,333.1666666666667,0.0,-12979.166666666673,333.1666666666667,-12979.166666666673,-12979.166666666673,-658.7463960966959,0.0,11.083388777999557,16.625083166999335,0.0,-647.6630073186963,16.625083166999335,-647.6630073186963,-647.6630073186963
57,-13989.194444444453,0.0,222.11111111111111,333.1666666666667,0.0,-13767.083333333341,333.1666666666667,-13767.083333333341,-13767.083333333341,-697.3676193641303,0.0,11.07233853993575,16.608507809903625,0.0,-686.2952808241945,16.608507809903625,-686.2952808241945,-686.2952808241945
58,-14777.11111111112,0.0,222.11111111111111,333.1666666666667,0.0,-14555.00000000001,333.1666666666667,-14555.00000000001,-14555.00000000001,-735.9119079238607,0.0,11.061310314298364,16.591965471447544,0.0,-724.8505976095622,16.591965471447544,-724.8505976095622,-724.8505976095622
59,-15565.027777777788,0.0,222.11111111111111,333.1666666666667,0.0,-15342.916666666677,333.1666666666667,-15342.916666666677,-15342.916666666677,-774.3794914317307,0.0,11.050304035378662,16.57545605306799,0.0,-763.329187396352,16.57545605306799,-763.329187396352,-763.329187396352
60,-16130.833333333343,0.0,0.0,333.1666666666667,0.0,-16130.833333333343,333.1666666666667,-16130.833333333343,-16130.833333333343,-801.7312789927108,0.0,0.0,16.55897945659377,0.0,-801.7312789927108,16.55897945659377,-801.7312789927108,-801.7312789927108
